,ip_address,date,hour,minute,seconds,protocol,username,password,status,respsize,timed,label
0,136.133.92.208,22/Jan/2018,15,02,01,GET,director,123456,200,1040,312,1
1,136.133.92.208,22/Jan/2018,15,02,01,GET,director,123456,200,945,14,1
2,136.133.92.208,22/Jan/2018,15,02,02,GET,director,123456,200,34463,9,1
3,30.142.97.121,22/Jan/2018,15,02,03,GET,administrator,123456,200,1040,2,1
4,30.142.97.121,22/Jan/2018,15,02,04,GET,administrator,123456,200,945,9,1
5,30.142.97.121,22/Jan/2018,15,02,04,GET,administrator,123456,200,34463,7,1
6,136.133.92.208,22/Jan/2018,15,02,06,POST,director,123456,200,1073,2547,1
7,136.133.92.208,22/Jan/2018,15,02,06,GET,director,123456,304,-,2,1
8,136.133.92.208,22/Jan/2018,15,02,07,GET,director,123456,304,-,9,1
9,30.142.97.121,22/Jan/2018,15,02,07,POST,administrator,123456,200,1073,1583,1
10,30.142.97.121,22/Jan/2018,15,02,09,GET,administrator,123456,304,-,1,1
11,30.142.97.121,22/Jan/2018,15,02,09,GET,administrator,123456,304,-,6,1
12,136.133.92.208,22/Jan/2018,15,02,11,GET,password,123456,200,1040,1,1
13,136.133.92.208,22/Jan/2018,15,02,13,GET,password,123456,200,945,2,1
14,136.133.92.208,22/Jan/2018,15,02,13,GET,password,123456,200,34463,3,1
15,30.142.97.121,22/Jan/2018,15,02,16,GET,testing,123456,200,1040,0,1
16,136.133.92.208,22/Jan/2018,15,02,17,POST,password,123456,200,1073,3403,1
17,30.142.97.121,22/Jan/2018,15,02,17,GET,testing,123456,200,945,7,1
18,30.142.97.121,22/Jan/2018,15,02,17,GET,testing,123456,200,34463,7,1
19,136.133.92.208,22/Jan/2018,15,02,18,GET,password,123456,304,-,1,1
20,136.133.92.208,22/Jan/2018,15,02,18,GET,password,123456,304,-,5,1
21,30.142.97.121,22/Jan/2018,15,02,19,POST,testing,123456,200,1073,729,1
22,30.142.97.121,22/Jan/2018,15,02,20,GET,testing,123456,304,-,0,1
23,30.142.97.121,22/Jan/2018,15,02,20,GET,testing,123456,304,-,1,1
24,136.133.92.208,22/Jan/2018,15,02,22,GET,help,123456,200,1040,1,1
25,136.133.92.208,22/Jan/2018,15,02,22,GET,help,123456,200,945,2,1
26,136.133.92.208,22/Jan/2018,15,02,23,GET,help,123456,200,34463,0,1
27,30.142.97.121,22/Jan/2018,15,02,24,GET,admin,123456,200,1040,0,1
28,30.142.97.121,22/Jan/2018,15,02,24,GET,admin,123456,200,945,3,1
29,136.133.92.208,22/Jan/2018,15,02,24,POST,help,123456,200,1073,149,1
30,136.133.92.208,22/Jan/2018,15,02,25,GET,help,123456,304,-,3,1
